Date,Hour,Minutes,Load,Load_lin,Load_detrend
2008-11-09,11.5,22.5,12271519.900000002,11639710.214899786,631809.6851002164
2008-11-16,11.5,22.5,11511857.700000003,11642009.70483932,-130152.00483931787
2008-11-23,11.5,22.5,12624060.000000007,11644309.194778856,979750.8052211516
2008-11-30,11.5,22.5,12870181.099999998,11646608.684718393,1223572.415281605
2008-12-07,11.5,22.5,12631632.300000004,11648908.174657928,982724.1253420766
2008-12-14,11.5,22.5,12873153.099999981,11651207.664597463,1221945.4354025181
2008-12-21,11.5,22.5,12672281.000000006,11653507.154536998,1018773.8454630077
2008-12-28,11.5,22.5,10800329.099999988,11655806.644476533,-855477.5444765445
2009-01-04,11.5,22.5,11288757.099999998,11658106.13441607,-369349.03441607207
2009-01-11,11.5,22.5,13296494.200000003,11660405.624355605,1636088.575644398
2009-01-18,11.5,22.5,13128129.100000009,11662705.11429514,1465423.985704869
2009-01-25,11.5,22.5,12671846.799999991,11665004.604234675,1006842.1957653165
2009-02-01,11.5,22.5,12586472.100000013,11667304.09417421,919168.0058258027
2009-02-08,11.5,22.5,12481883.100000001,11669603.584113747,812279.5158862546
2009-02-15,11.5,22.5,12477577.600000009,11671903.074053282,805674.525946727
2009-02-22,11.5,22.5,12609761.799999999,11674202.563992817,935559.2360071819
2009-03-01,11.5,22.5,12167347.899999999,11676502.053932352,490845.8460676465
2009-03-08,11.5,22.5,11971998.299999993,11678801.543871887,293196.75612810627
2009-03-15,11.5,22.5,12017865.4,11681101.033811424,336764.36618857644
2009-03-22,11.5,22.5,11908039.600000009,11683400.523750959,224639.07624904998
2009-03-29,11.55688622754491,22.5,11723803.499999989,11685700.013690494,38103.48630949482
2009-04-05,11.5,22.5,11206624.899999985,11687999.503630029,-481374.60363004357
2009-04-12,11.5,22.5,10493847.999999983,11690298.993569564,-1196450.9935695808
2009-04-19,11.5,22.5,10056998.299999995,11692598.483509101,-1635600.1835091058
2009-04-26,11.5,22.5,10751297.100000007,11694897.973448636,-943600.8734486289
2009-05-03,11.5,22.5,9901426.40000001,11697197.463388171,-1795771.0633881614
2009-05-10,11.5,22.5,10460146.299999982,11699496.953327706,-1239350.653327724
2009-05-17,11.5,22.5,10495639.199999997,11701796.443267243,-1206157.2432672456
2009-05-24,11.5,22.5,10464787.700000009,11704095.933206778,-1239308.2332067695
2009-05-31,11.5,22.5,10424545.200000003,11706395.423146313,-1281850.22314631
2009-06-07,11.5,22.5,10547760.099999998,11708694.913085848,-1160934.8130858503
2009-06-14,11.5,22.5,9757293.399999999,11710994.403025383,-1953701.0030253846
2009-06-21,11.5,22.5,10481035.699999992,11713293.89296492,-1232258.1929649282
2009-06-28,11.5,22.5,10533196.9,11715593.382904455,-1182396.4829044547
2009-07-05,11.5,22.5,10566808.499999998,11717892.87284399,-1151084.372843992
2009-07-12,11.5,22.5,10309586.599999987,11720192.362783525,-1410605.7627835386
2009-07-19,11.5,22.5,10577193.4,11722491.85272306,-1145298.4527230598
2009-07-26,11.5,22.5,10420206.69999999,11724791.342662597,-1304584.6426626071
2009-08-02,11.5,22.5,10340267.400000006,11727090.832602132,-1386823.4326021262
2009-08-09,11.5,22.5,10411465.3,11729390.322541667,-1317925.0225416664
2009-08-16,11.5,22.5,10171282.100000007,11731689.812481202,-1560407.712481195
2009-08-23,11.5,22.5,10653197.700000001,11733989.302420737,-1080791.602420736
2009-08-30,11.5,22.5,10808136.699999984,11736288.792360274,-928152.0923602898
2009-09-06,11.5,22.5,10826538.899999991,11738588.28229981,-912049.3822998181
2009-09-13,11.5,22.5,10947137.899999991,11740887.772239344,-793749.8722393531
2009-09-20,11.5,22.5,10975574.200000001,11743187.26217888,-767613.0621788781
2009-09-27,11.5,22.5,11008334.000000002,11745486.752118414,-737152.7521184124
2009-10-04,11.5,22.5,11286936.399999995,11747786.242057951,-460849.8420579564
2009-10-11,11.5,22.5,11630435.200000001,11750085.731997486,-119650.53199748509
2009-10-18,11.5,22.5,12149004.600000015,11752385.221937021,396619.3780629933
2009-10-25,11.44378698224852,22.5,12416988.100000005,11754684.711876556,662303.3881234489
2009-11-01,11.5,22.5,12146963.399999999,11756984.201816091,389979.1981839072
2009-11-08,11.5,22.5,12474866.599999987,11759283.691755628,715582.9082443584
2009-11-15,11.5,22.5,11962292.000000002,11761583.181695163,200708.8183048386
2009-11-22,11.5,22.5,12229060.600000007,11763882.671634698,465177.9283653088
2009-11-29,11.5,22.5,12298823.099999996,11766182.161574233,532640.9384257626
2009-12-06,11.5,22.5,12460151.800000008,11768481.651513768,691670.1484862398
2009-12-13,11.5,22.5,12823185.800000006,11770781.141453305,1052404.658546701
2009-12-20,11.5,22.5,13597804.800000006,11773080.63139284,1824724.168607166
2009-12-27,11.5,22.5,11706237.900000013,11775380.121332375,-69142.22133236192
2010-01-03,11.5,22.5,11446315.399999995,11777679.61127191,-331364.2112719156
2010-01-10,11.5,22.5,13303857.9,11779979.101211445,1523878.798788555
2010-01-17,11.5,22.5,13430254.500000006,11782278.591150982,1647975.9088490233
2010-01-24,11.5,22.5,13655588.499999983,11784578.081090517,1871010.418909466
2010-01-31,11.5,22.5,13817016.699999988,11786877.571030052,2030139.1289699357
2010-02-07,11.5,22.5,13181514.999999983,11789177.060969587,1392337.9390303958
