Date,Load,Load_denoised,forecast,q1_forecast,q2_forecast
2016-11-06 15:00:00,71050.9,71115.28588870823,70793.89362808221,65943.36520505753,76502.2113478714
2016-11-06 16:00:00,74777.90000000001,74670.31199757836,71519.46560508072,66304.4648737039,80622.44729945138
2016-11-06 17:00:00,77586.29999999999,77664.9611790305,73114.51392249984,66687.02532764449,83103.77949443263
2016-11-06 18:00:00,78171.79999999999,78085.90526621093,74981.97174524725,67934.39316020778,83297.6960290071
2016-11-06 19:00:00,77766.2,77897.18427221678,77014.6139367,70327.89611600562,84268.08641345412
2016-11-06 20:00:00,76483.3,76406.54246951242,77378.39531113477,72015.64892754475,82764.0518408046
2016-11-06 21:00:00,72990.09999999999,72956.94651201645,75805.90284823067,71774.57835794338,79800.42830132986
2016-11-06 22:00:00,69278.90000000001,69338.78056032867,72841.88491806127,68036.99273212855,77871.64095222838
2016-11-06 23:00:00,65674.2,65660.45349640286,68339.62737672785,63932.86452829756,73152.13342114576
2016-11-07 00:00:00,62476.0,62501.66044434661,64684.18855810359,60155.24669066528,69620.76201385164
2016-11-07 01:00:00,61051.5,61088.64913455101,63222.124609839295,58462.12812731987,67698.17790994354
2016-11-07 02:00:00,60577.8,60600.87720738202,62757.48999801105,58069.81801868358,66894.41980635372
2016-11-07 03:00:00,61206.3,61161.31686370176,62932.18439305884,58315.230060443166,67019.70954599003
2016-11-07 04:00:00,62276.09999999999,62235.63875557343,63457.409488279736,58844.75225338401,67541.46832707847
2016-11-07 05:00:00,65642.4,65615.7530529213,65396.95824026425,61038.42330740995,70364.76969080218
2016-11-07 06:00:00,74836.79999999999,74920.37526957715,72954.22670340375,65839.79469955669,78074.95377697537
2016-11-07 07:00:00,83777.1,83752.4533582398,81674.30318233787,73044.12997676326,87109.60705067655
2016-11-07 08:00:00,89213.69999999998,89197.30808578804,86745.42466816754,77579.79462768746,91304.76043675165
2016-11-07 09:00:00,91350.2,91313.2463295276,89117.89680234288,81336.95822667118,94015.3797644204
2016-11-07 10:00:00,91182.8,91233.29878249962,89414.65578073071,82791.86288813675,94320.6718951028
2016-11-07 11:00:00,91908.6,91947.83515627834,90359.2180702616,83826.89296208405,95401.86588320862
2016-11-07 12:00:00,92525.5,92527.54191481762,90578.65242643512,83901.65623782807,95924.57603867732
2016-11-07 13:00:00,93546.7,93333.92365115738,90889.36877055584,84642.62869301965,96363.74426168104
2016-11-07 14:00:00,91904.7,91938.96504094636,89503.64899245274,83655.82086952524,95133.4233426869
2016-11-07 15:00:00,91750.2,91817.22703666105,88708.57112617716,84030.28974727792,94404.98555620536
2016-11-07 16:00:00,94560.6,94628.40910596828,89042.58597896784,82827.16351965668,98203.85443477544
2016-11-07 17:00:00,97135.6,97019.18408910322,89623.14663106934,82090.65286751413,99902.5574297614
2016-11-07 18:00:00,95439.2,95504.1991855498,89969.40609991267,81746.91983636346,98922.14846876134
2016-11-07 19:00:00,94535.9,94494.70433923876,91195.53724971354,83160.62809897306,98521.3671843358
2016-11-07 20:00:00,91964.5,92004.39428674369,91051.50242880768,84141.93363099764,96295.6935532286
2016-11-07 21:00:00,86779.6,86644.49406515287,87945.34046810017,82867.2348687627,91520.60063260124
2016-11-07 22:00:00,79045.0,79247.23890754685,82182.92020994384,76557.82103750335,87416.53223239424
2016-11-07 23:00:00,73799.6,73819.98061342296,76562.87038961888,70552.3600769998,81606.62672421381
2016-11-08 00:00:00,69804.1,69753.67839408397,71910.19717728128,61820.42235879479,77311.82752214716
2016-11-08 01:00:00,67049.20000000001,67002.21401067576,69775.42086463295,60215.3030673656,75402.98379295088
2016-11-08 02:00:00,66534.6,66603.47671396591,68918.79312602247,60231.90065763889,74104.05669127348
2016-11-08 03:00:00,67801.59999999999,67781.68347857794,69067.69555758455,60430.71341198916,73956.54987913302
2016-11-08 04:00:00,68805.4,68846.91144639225,69314.1516966176,61406.21612004064,73571.22520447339
2016-11-08 05:00:00,71071.7,70994.99544765029,70374.70636686576,63115.5265631058,74958.84899579873
2016-11-08 06:00:00,79408.3,79386.94646090531,76409.20594055574,69308.73461542225,81497.15154580896
2016-11-08 07:00:00,87087.2,87109.04202984834,84190.5564566346,77194.29380939937,89429.30995592104
2016-11-08 08:00:00,91116.6,91109.70441351512,88417.05950665999,82149.67327961962,92624.13834908372
2016-11-08 09:00:00,92230.5,92283.0021578109,90272.61002972117,85373.80750457058,94826.6190647694
2016-11-08 10:00:00,91684.2,91691.86819510417,90345.7923080078,85420.27936074416,94998.2129626404
2016-11-08 11:00:00,92547.6,92564.85575732715,91286.3421335508,86340.03691497417,96288.06703635376
2016-11-08 12:00:00,92887.3,92913.3632671341,91492.51978567302,86431.20604901112,96657.98488127656
2016-11-08 13:00:00,93439.7,93263.30863366267,91748.9621236186,86944.32665748906,97002.69872386176
2016-11-08 14:00:00,91861.2,91915.46965228076,90393.36089767744,85564.05264131859,95577.81179959756
2016-11-08 15:00:00,91244.2,91279.4176764834,89575.30692889425,84547.56203537958,95071.2530721467
2016-11-08 16:00:00,95492.7,95574.5285484424,89864.35536497743,83716.96821953967,99090.664952439
2016-11-08 17:00:00,98032.8,97908.10310631196,90368.0361087944,82872.46205234801,100022.783290958
2016-11-08 18:00:00,96231.6,96381.40922597516,90674.25225972348,82545.46007809571,98879.7722986236
2016-11-08 19:00:00,95871.2,95802.81578668482,91920.8465763131,84443.73107725813,99386.69284506678
2016-11-08 20:00:00,93778.4,93697.32268771048,91839.87787962238,85939.46283644832,96861.89648587936
2016-11-08 21:00:00,87748.2,87692.4721421435,88666.3324025738,83847.71273431327,92102.6405092937
2016-11-08 22:00:00,80593.3,80711.27468723459,82958.69438371804,77716.58890965187,87941.04914005144
2016-11-08 23:00:00,75057.1,75014.861641839,77277.21421466523,71806.78931630052,82280.93305433131
2016-11-09 00:00:00,71129.9,71184.53811598803,72600.24546410797,65768.85189258066,77780.3537787508
2016-11-09 01:00:00,69683.4,69622.99043008756,70341.50436019711,63538.07992126209,75687.93822952482
2016-11-09 02:00:00,68699.4,68884.13980877271,69471.49755057902,62885.45566656745,74344.75180200353
2016-11-09 03:00:00,70103.5,70057.0358618915,69599.53725712068,63531.63043167733,74269.77483611093
2016-11-09 04:00:00,71262.0,71175.74247400419,69814.31210775147,63892.219037399685,74372.10052410197
2016-11-09 05:00:00,73150.5,73148.78254686833,70847.60354826528,64228.5127133979,75401.58328219215
2016-11-09 06:00:00,81100.1,81120.2709814484,76899.94131342511,71058.4611024574,81968.80554896597
2016-11-09 07:00:00,88239.7,88232.48632726354,84691.24826473891,78922.3693411626,89874.79204957341
2016-11-09 08:00:00,93049.8,93037.3129156418,88902.31774085545,83758.27376404492,93225.9677108597
2016-11-09 09:00:00,94874.2,94773.66091078562,90771.01124642996,86010.76283966796,95345.82524229224
2016-11-09 10:00:00,94664.3,94754.09335917784,90870.63314866756,86358.11108403323,95405.32854134926
2016-11-09 11:00:00,95632.1,95631.84777609917,91821.0866598136,87281.53940263597,96546.25460219616
2016-11-09 12:00:00,96041.4,96020.3436019287,91976.33951888653,87173.32929407866,96965.4429596841
2016-11-09 13:00:00,96205.5,96136.97855848137,92221.33227259714,87123.3428333269,97186.67474985323
2016-11-09 14:00:00,94751.30000000002,94781.28725862016,90845.21400689462,85677.23333529607,95915.53364570398
2016-11-09 15:00:00,94404.9,94402.26545294691,90001.42776242766,84599.4490338683,95381.12051078188
2016-11-09 16:00:00,97328.8,97372.30770797544,90242.20993898362,83864.92588711117,99631.78941552308
2016-11-09 17:00:00,99673.5,99616.73439555164,90660.6634172232,83418.08563771423,100894.03520223286
2016-11-09 18:00:00,97640.7,97684.19059148472,90919.14530508188,83012.60365996698,99564.2922662393
