Date,Load_denoised,forecast,q1_forecast,q2_forecast
2016-11-26 11:00:00,85609.95003546146,84234.31495720189,75603.87288688506,89081.7808724747
2016-11-26 12:00:00,84762.28823720614,83871.24303154527,75555.9822206814,88627.4500412247
2016-11-26 13:00:00,84286.56602453694,83520.6520639608,76314.69309854884,88352.01204559067
2016-11-26 14:00:00,81909.47219564249,81656.78525154994,75388.07683427849,86556.41135861498
2016-11-26 15:00:00,81706.75748555613,80379.07018483941,74661.44999086698,86271.38560594825
2016-11-26 16:00:00,86250.56782364835,80762.52540851315,74410.8384812911,90707.60979499247
2016-11-26 17:00:00,86338.55756228825,81492.52523150132,74196.8777429913,91988.51862532127
2016-11-26 18:00:00,84500.12388442087,82390.98026683884,74426.36704807189,90922.52815703236
2016-11-26 19:00:00,82819.71663086758,83220.1748163489,75615.07589133775,90584.51098514095
2016-11-26 20:00:00,79998.01697509737,82923.98302989526,77553.30172005553,88148.6422125576
2016-11-26 21:00:00,75314.86980038366,80520.1345500947,76044.38749480642,84607.82565334966
2016-11-26 22:00:00,71080.40467907756,76713.86672509114,71872.0600106363,81671.65728633983
2016-11-26 23:00:00,66910.70530742612,71985.19519723344,67339.59652687883,77090.77540303032
2016-11-27 00:00:00,62945.04152247062,67486.1899194593,62601.23163576827,72422.29316619049
2016-11-27 01:00:00,60159.19059820729,64626.38929814179,59942.1765306148,69764.22723795743
2016-11-27 02:00:00,59736.39756328753,63227.19318335899,58555.98054739575,68490.24076359131
2016-11-27 03:00:00,60178.31617276688,62671.418584975414,58141.634395483474,67935.28267468678
2016-11-27 04:00:00,60462.7935046107,62312.5479312526,58145.4896119729,67449.41672467957
2016-11-27 05:00:00,61167.86502688229,61967.37304026385,57930.68594965436,66741.34958755513
2016-11-27 06:00:00,62953.6444775992,62486.73380242344,58986.71414677433,67020.6306020928
2016-11-27 07:00:00,63789.92805486002,64161.23003139239,60186.141376702726,68586.85313629758
2016-11-27 08:00:00,64629.50701409981,67107.93797486917,61734.45582869927,71417.05191600835
2016-11-27 09:00:00,67619.98102681023,70730.23527289418,65398.6802122019,74908.29917761094
2016-11-27 10:00:00,70544.95785981207,73215.10920506091,67842.62512618344,77805.2957800556
2016-11-27 11:00:00,71689.7830583705,74145.32608832461,69154.69805651528,78828.07002835858
2016-11-27 12:00:00,72180.91195431362,74379.63762178028,69225.33912693123,79071.90789826814
2016-11-27 13:00:00,73040.47808765894,74557.18955159646,70136.3191972858,79193.35384063571
2016-11-27 14:00:00,71898.92004157911,73549.70547949747,69146.58797901348,78573.17047066946
2016-11-27 15:00:00,72181.0742656062,72445.22863942795,67688.57317261791,78092.58245827002
2016-11-27 16:00:00,76803.25062671564,73157.1121719379,68048.48316570501,82182.2559005617
