,lower Load,upper Load,mean Load
2016-12-24 20:00:00,73763.26943885766,113147.39416599761,93455.33180242764
2016-12-24 21:00:00,68684.23020871115,108141.35120667415,88412.79070769265
2016-12-24 22:00:00,62610.70140958938,102137.42320705357,82374.06230832147
2016-12-24 23:00:00,56992.70302190607,96583.21970205272,76787.9613619794
2016-12-25 00:00:00,52224.65960209916,91872.83892372335,72048.74926291125
2016-12-25 01:00:00,49586.12059203936,89358.7446849414,69472.43263849038
2016-12-25 02:00:00,47959.096768930285,87906.20668167897,67932.65172530463
2016-12-25 03:00:00,47753.92319660222,87888.5622334967,67821.24271504946
2016-12-25 04:00:00,48796.14485240099,89103.5484746703,68949.84666353565
2016-12-25 05:00:00,51151.69128424699,91614.48321582937,71383.08725003818
2016-12-25 06:00:00,59265.55643579164,99877.15555786897,79571.3559968303
2016-12-25 07:00:00,66870.1901330171,107627.8309169119,87249.0105249645
2016-12-25 08:00:00,69724.69010756134,110616.20015885333,90170.44513320734
2016-12-25 09:00:00,72058.4806673745,113074.32301823897,92566.40184280674
2016-12-25 10:00:00,72134.89355892071,113269.98775401886,92702.44065646979
2016-12-25 11:00:00,73106.4315148109,114349.50694282957,93727.96922882024
2016-12-25 12:00:00,73101.2313747234,114440.03251526464,93770.63194499402
2016-12-25 13:00:00,73814.87273315071,115243.01843743828,94528.9455852945
2016-12-25 14:00:00,72216.63461012459,113726.52514260467,92971.57987636463
2016-12-25 15:00:00,72631.99808582228,114217.27034348466,93424.63421465347
2016-12-25 16:00:00,76769.19668244032,118424.92246616146,97597.05957430089
2016-12-25 17:00:00,76671.59698146366,118391.00631031848,97531.30164589107
2016-12-25 18:00:00,75440.42191474885,117218.76414362597,96329.59302918741
2016-12-25 19:00:00,74894.50638706586,116729.54496950973,95812.0256782878
2016-12-25 20:00:00,72419.16785692646,114304.79603763604,93361.98194728125
2016-12-25 21:00:00,67354.30338994545,109285.71039070768,88320.00689032656
2016-12-25 22:00:00,61302.46768030687,103277.82920034029,82290.14844032358
2016-12-25 23:00:00,55704.941068838765,97720.51493758583,76712.7280032123
2016-12-26 00:00:00,50952.71850026946,93004.47701752203,71978.59775889575
2016-12-26 01:00:00,48335.39750390643,90476.18511805101,69405.79131097872
2016-12-26 02:00:00,46734.9665294656,89006.46926452179,67870.7178969937
2016-12-26 03:00:00,46553.657857781,88967.46836278001,67760.5631102805
2016-12-26 04:00:00,47618.66931557329,90163.76486818647,68891.21709187988
2016-12-26 05:00:00,49995.91071749659,92659.2128796576,71327.5617985771
2016-12-26 06:00:00,58125.47840787261,100902.41984037185,79513.94912412223
2016-12-26 07:00:00,65746.24440822277,108635.28351248354,87190.76396035316
2016-12-26 08:00:00,68620.60271361817,111612.53867944077,90116.57069652947
2016-12-26 09:00:00,70969.23164385381,114056.866851708,92513.0492477809
2016-12-26 10:00:00,71062.61741143357,114242.45171802549,92652.53456472953
2016-12-26 11:00:00,72049.64387517895,115312.91094022327,93681.27740770111
2016-12-26 12:00:00,72056.92779688985,115393.881987322,93725.40489210593
2016-12-26 13:00:00,72782.23459597927,116188.11145272895,94485.17302435411
2016-12-26 14:00:00,71196.01713547205,114665.05937938888,92930.53825743047
2016-12-26 15:00:00,71619.93700694025,115147.14347458867,93383.54024076446
2016-12-26 16:00:00,75765.88516606225,119347.5132221035,97556.69919408287
2016-12-26 17:00:00,75677.03196925862,119307.87551776398,97492.4537435113
2016-12-26 18:00:00,74451.98369527922,118128.37984777038,96290.1817715248
2016-12-26 19:00:00,73913.80288962595,117634.14899725959,95773.97594344277
2016-12-26 20:00:00,71446.87502070639,115206.38206096223,93326.62854083431
2016-12-26 21:00:00,66387.10338818657,110181.96816685935,88284.53577752296
2016-12-26 22:00:00,60342.81850235036,104171.7706195458,82257.29456094808
2016-12-26 23:00:00,54753.04179810996,98613.19207411639,76683.11693611318
2016-12-27 00:00:00,50005.80633247917,93893.93024155381,71949.86828701649
2016-12-27 01:00:00,47396.96896328266,91359.68189371844,69378.32542850055
2016-12-27 02:00:00,45808.100042083664,89883.38982038309,67845.74493123338
2016-12-27 03:00:00,45636.00679679164,89834.77871431691,67735.39275555428
2016-12-27 04:00:00,46710.54542818462,91023.24115106848,68866.89328962655
2016-12-27 05:00:00,49097.55383868159,93512.87900683894,71305.21642276026
2016-12-27 06:00:00,57233.78702886686,101747.98942785666,79490.88822836176
2016-12-27 07:00:00,64861.69524497073,109473.68443716,87167.68984106537
2016-12-27 08:00:00,67744.76918422474,112446.62474154861,90095.69696288668
2016-12-27 09:00:00,70099.19563963352,114884.65583454707,92491.92573709029
2016-12-27 10:00:00,70199.44809353401,115065.61066893648,92632.52938123525
2016-12-27 11:00:00,71193.42829904285,116132.64801027569,93663.03815465927
2016-12-27 12:00:00,71205.33613052803,116208.94288112358,93707.1395058258
2016-12-27 13:00:00,71935.50646343298,116999.3482230423,94467.42734323764
2016-12-27 14:00:00,70354.98435796912,115474.11084707097,92914.54760252005
2016-12-27 15:00:00,70782.08870862526,115952.09182383501,93367.09026623014
2016-12-27 16:00:00,74931.77777281453,120149.384888464,97540.58133063927
2016-12-27 17:00:00,74847.3201091394,120108.00071474386,97477.66041194163
2016-12-27 18:00:00,73624.67124070732,118925.22144950625,96274.94634510679
2016-12-27 19:00:00,73089.58830129416,118428.6469051885,95759.11760324134
2016-12-27 20:00:00,70626.66158015004,116000.032674422,93313.34712728602
2016-12-27 21:00:00,65568.6751683127,110972.97906076132,88270.82711453701
2016-12-27 22:00:00,59527.250997728974,104961.41852970507,82244.33476371702
2016-12-27 23:00:00,53940.99511996694,99402.52531390433,76671.76021693564
2016-12-28 00:00:00,49195.344971245235,94681.36608170706,71938.35552647615
2016-12-28 01:00:00,46590.1826976953,92144.0819581991,69367.1323279472
2016-12-28 02:00:00,45007.16549510394,90664.89865239795,67836.03207375095
2016-12-28 03:00:00,44839.21893426419,90611.24864344421,67725.2337888542
2016-12-28 04:00:00,45918.24178046737,91795.69983518156,68856.97080782446
2016-12-28 05:00:00,48310.29135572142,94282.77629890296,71296.53382731219
2016-12-28 06:00:00,56449.66240651275,102513.79017301314,79481.72628976294
2016-12-28 07:00:00,64081.07889775172,110235.92366454095,87158.50128114634
